product_name,product_link,review_date,review_title,review_rating,review_comment
TRD Tyre Stickers for Car - Tyre Tattoo,https://www.amazon.in/Tattoo-Premium-Unique-Stickers-_Toyota/dp/B09G176287,25 December 2021,best product from best people and the only guys doing this i feel as i don t know anyone else ,5,it s perfect and very beautiful and my 2nd purchase so a must try for a car lover 
Tyre Tattoo 3D Premium & Unique Rubber Tyre Stickers Kit (4 Tyres)_Design M Performance,https://www.amazon.in/Tattoo-Premium-Stickers-_Design-Performance/dp/B092FCJBQQ,10 September 2021,100 100 ,5,dont do it yourself let someone who does decals or stickering pay them a thousand bucks and see the magic of this product by far the most accurately described and pictured product on amazon words wont do justice to this product see the pictures of this on my bmw f10 530d m sport edition 
Tyre Tattoo 3D Premium & Unique Rubber Tyre Stickers Kit (4 Tyres)_Design M Performance,https://www.amazon.in/Tattoo-Premium-Stickers-_Design-Performance/dp/B092FCJBQQ,16 December 2021,looks aesthetically technically sound ,5,purchased from open market quality design looks super installation made easy car looks totally upgraded after this 
"PRIGAN, Magnite Black Silver Wheel Cover 16"", for All 16 Inch Cars (Set of 4 Pcs) (Press Fitting) Model- Magnite BS 16",https://www.amazon.in/PRIGAN-Magnite-Silver-Fitting-Model/dp/B09K43QVWJ,3 December 2021,for nissan magnite ,4,it perfectly fit for nissan magnite looking like near by orginal design wheel packed 
"PRIGAN, Magnite Black Silver Wheel Cover 16"", for All 16 Inch Cars (Set of 4 Pcs) (Press Fitting) Model- Magnite BS 16",https://www.amazon.in/PRIGAN-Magnite-Silver-Fitting-Model/dp/B09K43QVWJ,29 July 2022,colour design changed its not like shown on photo or original ,1,colour combination shown on photo is not same on wheel cover i have received silver colour part is coloured with black and black is colour with silver cause of which whole design of wheel cover is change i think its happened by mistake by manufacturer please pay attention while colouring 
"PRIGAN, Magnite Black Silver Wheel Cover 16"", for All 16 Inch Cars (Set of 4 Pcs) (Press Fitting) Model- Magnite BS 16",https://www.amazon.in/PRIGAN-Magnite-Silver-Fitting-Model/dp/B09K43QVWJ,21 February 2022,excellent ,4,excellent 
"PRIGAN, Magnite Black Silver Wheel Cover 16"", for All 16 Inch Cars (Set of 4 Pcs) (Press Fitting) Model- Magnite BS 16",https://www.amazon.in/PRIGAN-Magnite-Silver-Fitting-Model/dp/B09K43QVWJ,20 February 2022,best quality material ,5,best quality productsvalue for money 
"PRIGAN, Magnite Black Silver Wheel Cover 16"", for All 16 Inch Cars (Set of 4 Pcs) (Press Fitting) Model- Magnite BS 16",https://www.amazon.in/PRIGAN-Magnite-Silver-Fitting-Model/dp/B09K43QVWJ,30 July 2022,value for money ,5,quality with perfection 
"PRIGAN, Magnite Black Silver Wheel Cover 16"", for All 16 Inch Cars (Set of 4 Pcs) (Press Fitting) Model- Magnite BS 16",https://www.amazon.in/PRIGAN-Magnite-Silver-Fitting-Model/dp/B09K43QVWJ,30 July 2022,very loose not fitting in magnite wheels ,1,not a good option very loose not fitting in magnite 
"PRIGAN, Magnite Black Silver Wheel Cover 16"", for All 16 Inch Cars (Set of 4 Pcs) (Press Fitting) Model- Magnite BS 16",https://www.amazon.in/PRIGAN-Magnite-Silver-Fitting-Model/dp/B09K43QVWJ,4 July 2022,it doesn t fit my nissan magnite it s alil loss and goes off during off roads ,3,it does not fit properly 
"Hotwheelz Sporty Dual Color Silver Black 14-inch Wheel Cover with Rings(Set of 4pc, Glossy Silver Black)",https://www.amazon.in/Hotwheelz-Sporty-Silver-14-inch-Glossy/dp/B07SNBB9R6,22 June 2019,nice design looks like alloy wheel from distance ,5,perfectly fits for my tata vista delivery bit delayed but fine since it met my expectations quality is okay for this price my car has got new look see the difference between with old new cap design on my car happy with it 
"Hotwheelz Sporty Dual Color Silver Black 14-inch Wheel Cover with Rings(Set of 4pc, Glossy Silver Black)",https://www.amazon.in/Hotwheelz-Sporty-Silver-14-inch-Glossy/dp/B07SNBB9R6,28 August 2019,worth it ,4,it s worth the price you can go for it 
"Hotwheelz Sporty Dual Color Silver Black 14-inch Wheel Cover with Rings(Set of 4pc, Glossy Silver Black)",https://www.amazon.in/Hotwheelz-Sporty-Silver-14-inch-Glossy/dp/B07SNBB9R6,4 September 2019,looks beautiful on my car swift ,4,looks great but very light product bending for light pressure and lack of finishing and quality and painting 
"Hotwheelz Sporty Dual Color Silver Black 14-inch Wheel Cover with Rings(Set of 4pc, Glossy Silver Black)",https://www.amazon.in/Hotwheelz-Sporty-Silver-14-inch-Glossy/dp/B07SNBB9R6,23 September 2019,nice product at this price range ,4,product is good nice and sturdy fits my new gen swift 2019 looks same as diamond cut alloy wheels pics attached main part is it s very tough to install for the first time i tried myself after that took it to the mechanic who fixed it otherwise it s really good 
"Hotwheelz Sporty Dual Color Silver Black 14-inch Wheel Cover with Rings(Set of 4pc, Glossy Silver Black)",https://www.amazon.in/Hotwheelz-Sporty-Silver-14-inch-Glossy/dp/B07SNBB9R6,16 December 2019,beware wrong web description design does not match the pictures ,1,the design being delivered is a design that looks similar to the pictures provided but it is actually different you can confirm this by looking at other customer photos too it has more of black colour than silver like the ones shown in the web description so it best for black rims than silver rims i bought it for my car with silver rims and the design i received does not look good on silver rims if you have silver rims consider looking at constimer images before buyingthe quality is just ok not excellent edit they have now updated the images in web description 
"Hotwheelz Sporty Dual Color Silver Black 14-inch Wheel Cover with Rings(Set of 4pc, Glossy Silver Black)",https://www.amazon.in/Hotwheelz-Sporty-Silver-14-inch-Glossy/dp/B07SNBB9R6,17 March 2020,not a great finish but looks good ,3,the paint works is worst the silver paint has been spilled to the black area and vice versa also the finish is not good you can see dots and smudge on the edge of silver paint i think it has been painted in hurry and packed before paint drys off it s hard plastic and got it fixed at maruthi showroom overall look of the car has increased after installing these i have to see the quality after using it for few months 
"Hotwheelz Sporty Dual Color Silver Black 14-inch Wheel Cover with Rings(Set of 4pc, Glossy Silver Black)",https://www.amazon.in/Hotwheelz-Sporty-Silver-14-inch-Glossy/dp/B07SNBB9R6,22 March 2020,completely changed the looks of the car looking more stylish ,5,completely changed the looks of car i have a 2019 wagon r nutmeg brown and these wheel caps are a perfect march delivery 5 5 quality 4 5 5 i would recommend this product 
"Hotwheelz Sporty Dual Color Silver Black 14-inch Wheel Cover with Rings(Set of 4pc, Glossy Silver Black)",https://www.amazon.in/Hotwheelz-Sporty-Silver-14-inch-Glossy/dp/B07SNBB9R6,9 September 2019,awesome purchase 5 stars deserves ,5,awesome product guys after installing it on my swift gave a new sportier look even my colleagues liked it 
"Hotwheelz Sporty Dual Color Silver Black 14-inch Wheel Cover with Rings(Set of 4pc, Glossy Silver Black)",https://www.amazon.in/Hotwheelz-Sporty-Silver-14-inch-Glossy/dp/B07SNBB9R6,28 September 2020,wheel cup painting coming out in a weak ,1,painting coming out from wheel cup in a weak the same i bought at 900rs from local market before this i thought would be a good quality but no this also same like 900rs worth wheelcup 
"Hotwheelz Sporty Dual Color Silver Black 14-inch Wheel Cover with Rings(Set of 4pc, Glossy Silver Black)",https://www.amazon.in/Hotwheelz-Sporty-Silver-14-inch-Glossy/dp/B07SNBB9R6,19 July 2020,a go for it product ,4,a truely value for money product very durable very sturdy it is a hard fit in the beginning but obviously it has to be a hard fit so that it doesn t fall off while driving or when you hit a pothole best way to install this is to take help from someone else one to hold the wheel cap and other to push it inwards talking about looks this looks fab when looked from some distance like other reviews i would not say this looks like alloy wheels but it stands pretty close to it cons small imperfections in paint can be noticed when observed closely specially when you are a knit picker paint quality 7 5 10 the cut for the pressure valve should be a bit broader not a big problem but requires attention overall i would conclude that you get what you pay for for this price this is the best product available in the market 
Carzilla Auto 56MM VRS Wheel Hub Centre Caps Alloy Sticker Compatible for S-Koda Rapid Octavia Superb,https://www.amazon.in/Carzilla-Centre-Sticker-Compatible-Octavia/dp/B0993VLBNR,30 July 2022,quality and installation ,3,installation was damn tough the glue of the emblem was not appropriate so that i bought a areldite and after that i installed 
Carzilla Auto 56MM VRS Wheel Hub Centre Caps Alloy Sticker Compatible for S-Koda Rapid Octavia Superb,https://www.amazon.in/Carzilla-Centre-Sticker-Compatible-Octavia/dp/B0993VLBNR,18 June 2022,doesn t stick well adhesive is of low quality ,1,adhesive is of cheap quality doesn t stick well 
Carzilla Auto 56MM VRS Wheel Hub Centre Caps Alloy Sticker Compatible for S-Koda Rapid Octavia Superb,https://www.amazon.in/Carzilla-Centre-Sticker-Compatible-Octavia/dp/B0993VLBNR,28 December 2021,this us the product which is like ek machhli pure talab ko ganda krti hai maha bekar ,1,quality of product is very chip 
"Kingsway - Hotwheelz 14"" Sporty Wheel Cover with Rings (Two Tone Black/Tan Glossy Finish, Pack of 4)",https://www.amazon.in/Kingsway-hotwheelz-Sporty-Glossy-Finish/dp/B083Q71Y8V,4 December 2021,not the exact colour shown in image and some colour finishing not good ,4,not the exact colour shown in image and some colour finishing not good 
"Kingsway - Hotwheelz 14"" Sporty Wheel Cover with Rings (Two Tone Black/Tan Glossy Finish, Pack of 4)",https://www.amazon.in/Kingsway-hotwheelz-Sporty-Glossy-Finish/dp/B083Q71Y8V,24 January 2022,very bad product color lost after first wash ,1,very bad product color lost after first wash wheel disc turned from black and red to white very bad product dont buy 
"Kingsway - Hotwheelz 14"" Sporty Wheel Cover with Rings (Two Tone Black/Tan Glossy Finish, Pack of 4)",https://www.amazon.in/Kingsway-hotwheelz-Sporty-Glossy-Finish/dp/B083Q71Y8V,18 May 2022,damaged ,1,damaged 
"Kingsway - Hotwheelz 14"" Sporty Wheel Cover with Rings (Two Tone Black/Tan Glossy Finish, Pack of 4)",https://www.amazon.in/Kingsway-hotwheelz-Sporty-Glossy-Finish/dp/B083Q71Y8V,18 January 2022,awesome look in swift vdi white colour car ,5,awesome look in swift vdi white colour car 
"Kingsway - Hotwheelz 14"" Sporty Wheel Cover with Rings (Two Tone Silver/Grey Glossy Finish, Pack of 4)",https://www.amazon.in/Kingsway-hotwheelz-Sporty-Silver-Glossy/dp/B083Q5VGYP,25 November 2020,poor quality painting on wheel cup ,1,the paint quality is poor it s not worth it also mrp mentioned on box is rs 1253 or something inclusive of gst but they took rs 1399 00 from me after a discount from rs 1999 00 please don t get fooled by them 
"Kingsway - Hotwheelz 14"" Sporty Wheel Cover with Rings (Two Tone Silver/Grey Glossy Finish, Pack of 4)",https://www.amazon.in/Kingsway-hotwheelz-Sporty-Silver-Glossy/dp/B083Q5VGYP,17 August 2020,satisfied with the quality and look ,5,good quality products looks really nice hope to get more of other products from the brand 
"Kingsway - Hotwheelz 14"" Sporty Wheel Cover with Rings (Two Tone Silver/Grey Glossy Finish, Pack of 4)",https://www.amazon.in/Kingsway-hotwheelz-Sporty-Silver-Glossy/dp/B083Q5VGYP,23 April 2021,fitting not proper ,2,the package arrived on time however firstly the product lacks finishing and secondly the fitting is not proper the wheel cover does not cover the entire wheel rim not pleased with my purchase 
"Kingsway - Hotwheelz 14"" Sporty Wheel Cover with Rings (Two Tone Silver/Grey Glossy Finish, Pack of 4)",https://www.amazon.in/Kingsway-hotwheelz-Sporty-Silver-Glossy/dp/B083Q5VGYP,23 May 2022,good set of wheelcaps ,4,good set for the price paid however the under color is slightly darker than what is shown in display not bad for the price keeping them for now 
"Kingsway - Hotwheelz 14"" Sporty Wheel Cover with Rings (Two Tone Silver/Grey Glossy Finish, Pack of 4)",https://www.amazon.in/Kingsway-hotwheelz-Sporty-Silver-Glossy/dp/B083Q5VGYP,19 January 2021,awesome fit looks stunning ,4,awesome product easy to install and stunning to look changed whole look of the vehicle small tip before installing watch videos of installation so will get idea about metal ring and how to place perfectly for smooth installation 
"Kingsway - Hotwheelz 14"" Sporty Wheel Cover with Rings (Two Tone Silver/Grey Glossy Finish, Pack of 4)",https://www.amazon.in/Kingsway-hotwheelz-Sporty-Silver-Glossy/dp/B083Q5VGYP,12 December 2021,it is small in size i can t use it ,4,no it is small and not suitable for my tuv300 the size is 15 but you sent a 14 wheel cap 
"Kingsway - Hotwheelz 14"" Sporty Wheel Cover with Rings (Two Tone Silver/Grey Glossy Finish, Pack of 4)",https://www.amazon.in/Kingsway-hotwheelz-Sporty-Silver-Glossy/dp/B083Q5VGYP,28 August 2020,this is cheating by amazon seller ,1,very very bad not fitted my car but item not return or replacement 
"Kingsway - Hotwheelz 14"" Sporty Wheel Cover with Rings (Two Tone Silver/Grey Glossy Finish, Pack of 4)",https://www.amazon.in/Kingsway-hotwheelz-Sporty-Silver-Glossy/dp/B083Q5VGYP,16 August 2021,i20 ,5,i20 
"Kingsway - Hotwheelz 14"" Sporty Wheel Cover with Rings (Two Tone Silver/Grey Glossy Finish, Pack of 4)",https://www.amazon.in/Kingsway-hotwheelz-Sporty-Silver-Glossy/dp/B083Q5VGYP,10 December 2021,worst product ,1,not attractive even faded in colour 
"Kingsway - Hotwheelz 14"" Sporty Wheel Cover with Rings (Two Tone Silver/Grey Glossy Finish, Pack of 4)",https://www.amazon.in/Kingsway-hotwheelz-Sporty-Silver-Glossy/dp/B083Q5VGYP,8 September 2021,it doesn t look as good on the wheels as it appears in the picture ,3,it doesn t look as good on the wheels as it appears in the picture 
AUTO MT 4pcs GTI Emblem Car Wheel Center Hub Cap Caps Badge Sticker Decal 56mm 2INCH,https://www.amazon.in/AUTO-MT-Emblem-Center-Sticker/dp/B094J7PCBY,30 August 2021,good quality ,4,hard shell worth for price 
"Netco Unbreakable Silver 13"" inch Hyundai i-10 (Old) 2008-2013 Bolt Fitted Wheel Cover/Hubcaps, Set of 4 Piece",https://www.amazon.in/Netco-Unbreakable-Silver-Hyundai-Hubcaps/dp/B09NSYGJYT,12 March 2022,good product specially quality is super and leasst amount ,5,super and quality product happy with thank you amazon 
"Netco Unbreakable Silver 13"" inch Hyundai i-10 (Old) 2008-2013 Bolt Fitted Wheel Cover/Hubcaps, Set of 4 Piece",https://www.amazon.in/Netco-Unbreakable-Silver-Hyundai-Hubcaps/dp/B09NSYGJYT,5 May 2022,value for money ,5,quality of the plastic is very good good product for hyundai i10 
CARIZO® - Hotwheelz 15 Inch Wheel Cover | Grey & Silver Colour | 15 Inch Cars Wheel Cap | Set of 4 Compatible with Volkswagen Ameo All Models,https://www.amazon.in/CARIZO%C2%AE-Hotwheelz-Silver-Compatible-Volkswagen/dp/B09LRDPGN8,19 July 2022,beutiful ,5,ek car ke bahter viklap 
"Netco Silver 12"" inch ALTO-800 Wheel Cover/Hubcaps, Set of 4 Piece",https://www.amazon.in/Netco-Silver-ALTO-800-Wheel-Hubcaps/dp/B09MCJWKGW,1 January 2022,well fitted ,5,well fitted to my aulto 800 2014 model images for reference 
"PRIGAN® Premium Quality, 14 Inch Universal Silver Black Wheel Cover For All 14 Inch Cars (SIZE 14 Inch) (Set of 4 Pcs) (Press Fitting) Model- Glider DC",https://www.amazon.in/PRIGAN%C2%AE-Premium-Quality-Universal-14/dp/B098LMNKL1,26 August 2021,value for money ,5,beautiful looking just as shown in pic good quality tight fitting on the wheel 
"PRIGAN® Premium Quality, 14 Inch Universal Silver Black Wheel Cover For All 14 Inch Cars (SIZE 14 Inch) (Set of 4 Pcs) (Press Fitting) Model- Glider DC",https://www.amazon.in/PRIGAN%C2%AE-Premium-Quality-Universal-14/dp/B098LMNKL1,2 June 2022,duplicate product not exactly as image shown ,1,the product is not upto the mark silver color is inside out and black color is painted i have attached pictures and you can spot the difference not worth it as the product shown and brought are not the same lost reputation 
"PRIGAN® Premium Quality, 14 Inch Universal Silver Black Wheel Cover For All 14 Inch Cars (SIZE 14 Inch) (Set of 4 Pcs) (Press Fitting) Model- Glider DC",https://www.amazon.in/PRIGAN%C2%AE-Premium-Quality-Universal-14/dp/B098LMNKL1,2 November 2021,poor quality ,3,product quality is not up to the mark like premium 
"PRIGAN® Premium Quality, 14 Inch Universal Silver Black Wheel Cover For All 14 Inch Cars (SIZE 14 Inch) (Set of 4 Pcs) (Press Fitting) Model- Glider DC",https://www.amazon.in/PRIGAN%C2%AE-Premium-Quality-Universal-14/dp/B098LMNKL1,26 April 2022,great design but poor finish ,4,great design but poor finish 
"PRIGAN® Premium Quality, 14 Inch Universal Silver Black Wheel Cover For All 14 Inch Cars (SIZE 14 Inch) (Set of 4 Pcs) (Press Fitting) Model- Glider DC",https://www.amazon.in/PRIGAN%C2%AE-Premium-Quality-Universal-14/dp/B098LMNKL1,17 May 2022,color change ,2,bad quality 3rd time 
"PRIGAN® Premium Quality, 14 Inch Universal Silver Black Wheel Cover For All 14 Inch Cars (SIZE 14 Inch) (Set of 4 Pcs) (Press Fitting) Model- Glider DC",https://www.amazon.in/PRIGAN%C2%AE-Premium-Quality-Universal-14/dp/B098LMNKL1,15 February 2022,color is not black as described ,1,black is too low like silver 
"PRIGAN® Premium Quality, 14 Inch Universal Silver Black Wheel Cover For All 14 Inch Cars (SIZE 14 Inch) (Set of 4 Pcs) (Press Fitting) Model- Glider DC",https://www.amazon.in/PRIGAN%C2%AE-Premium-Quality-Universal-14/dp/B098LMNKL1,11 March 2022,handle with care item ,5,product is difficult to install 
"PRIGAN® Premium Quality, 14 Inch Universal Silver Black Wheel Cover For All 14 Inch Cars (SIZE 14 Inch) (Set of 4 Pcs) (Press Fitting) Model- Glider DC",https://www.amazon.in/PRIGAN%C2%AE-Premium-Quality-Universal-14/dp/B098LMNKL1,21 November 2021,it is below normal quality looking gud but painting is gone ,1,below average quality but looking gud 
"PRIGAN, Magnite Black Silver Wheel Cover 16"", for All 16 Inch Cars (Set of 4 Pcs) (Press Fitting) Model- Magnite BS 16",https://www.amazon.in/PRIGAN-Magnite-Silver-Fitting-Model/dp/B09K43QVWJ,3 December 2021,for nissan magnite ,4,it perfectly fit for nissan magnite looking like near by orginal design wheel packed 
"PRIGAN, Magnite Black Silver Wheel Cover 16"", for All 16 Inch Cars (Set of 4 Pcs) (Press Fitting) Model- Magnite BS 16",https://www.amazon.in/PRIGAN-Magnite-Silver-Fitting-Model/dp/B09K43QVWJ,29 July 2022,colour design changed its not like shown on photo or original ,1,colour combination shown on photo is not same on wheel cover i have received silver colour part is coloured with black and black is colour with silver cause of which whole design of wheel cover is change i think its happened by mistake by manufacturer please pay attention while colouring 
"PRIGAN, Magnite Black Silver Wheel Cover 16"", for All 16 Inch Cars (Set of 4 Pcs) (Press Fitting) Model- Magnite BS 16",https://www.amazon.in/PRIGAN-Magnite-Silver-Fitting-Model/dp/B09K43QVWJ,21 February 2022,excellent ,4,excellent 
"PRIGAN, Magnite Black Silver Wheel Cover 16"", for All 16 Inch Cars (Set of 4 Pcs) (Press Fitting) Model- Magnite BS 16",https://www.amazon.in/PRIGAN-Magnite-Silver-Fitting-Model/dp/B09K43QVWJ,20 February 2022,best quality material ,5,best quality productsvalue for money 
"PRIGAN, Magnite Black Silver Wheel Cover 16"", for All 16 Inch Cars (Set of 4 Pcs) (Press Fitting) Model- Magnite BS 16",https://www.amazon.in/PRIGAN-Magnite-Silver-Fitting-Model/dp/B09K43QVWJ,30 July 2022,value for money ,5,quality with perfection 
"PRIGAN, Magnite Black Silver Wheel Cover 16"", for All 16 Inch Cars (Set of 4 Pcs) (Press Fitting) Model- Magnite BS 16",https://www.amazon.in/PRIGAN-Magnite-Silver-Fitting-Model/dp/B09K43QVWJ,30 July 2022,very loose not fitting in magnite wheels ,1,not a good option very loose not fitting in magnite 
"PRIGAN, Magnite Black Silver Wheel Cover 16"", for All 16 Inch Cars (Set of 4 Pcs) (Press Fitting) Model- Magnite BS 16",https://www.amazon.in/PRIGAN-Magnite-Silver-Fitting-Model/dp/B09K43QVWJ,4 July 2022,it doesn t fit my nissan magnite it s alil loss and goes off during off roads ,3,it does not fit properly 
ARUN Car Wheel Cover Silver and Black Color 14inch for New Swift Dzire 2017,https://www.amazon.in/ARUN-premium-Quality-Silver-14inch/dp/B08K85GH9Y,4 May 2022,perfect and stylish ,5,i have used it for my old wagon r 14 inch tyres i installed covers myself although lil difficult to do but once fitted they look awesome quality and looks are perfect for the money you spend thank to amazon and seller 
ARUN Car Wheel Cover Silver and Black Color 14inch for New Swift Dzire 2017,https://www.amazon.in/ARUN-premium-Quality-Silver-14inch/dp/B08K85GH9Y,20 October 2020,thank you amazon in ,5,super product perfect fitted to my dzire 2015 model 
ARUN Car Wheel Cover Silver and Black Color 14inch for New Swift Dzire 2017,https://www.amazon.in/ARUN-premium-Quality-Silver-14inch/dp/B08K85GH9Y,23 March 2021,value for money product and looks great ,5,perfectly fits for ford fiesta value for money and easy installed to my car 
ARUN Car Wheel Cover Silver and Black Color 14inch for New Swift Dzire 2017,https://www.amazon.in/ARUN-premium-Quality-Silver-14inch/dp/B08K85GH9Y,8 February 2021,quality wise its good enough 3 5 star ,3,perfectly fits swift 2013 paint finishing not good but usable so 3 5 star 
ARUN Car Wheel Cover Silver and Black Color 14inch for New Swift Dzire 2017,https://www.amazon.in/ARUN-premium-Quality-Silver-14inch/dp/B08K85GH9Y,1 December 2020,great design poor paint quality and finish ,3,the wheelcaps are really good looking but the paint finish is of very poor quality the black paint was a touch up job done using a spay paint can 
ARUN Car Wheel Cover Silver and Black Color 14inch for New Swift Dzire 2017,https://www.amazon.in/ARUN-premium-Quality-Silver-14inch/dp/B08K85GH9Y,3 March 2021,useless product ,1,does not fit 14 inch poor manufacturing avoid this product i am repenting buying this 
